## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT SRR099968_RG.bam --OUTPUT ../picard/SRR099968_markdup.bam --METRICS_FILE ../picard/SRR099968_metrics.txt --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Jun 27 11:36:53 IST 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
WES_library	87	708340	591	1567	4	2503	0	0.003536	99992583

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	703382	703382
2.0	1.992941	2409	2409
3.0	2.978873	44	44
4.0	3.957846	2	2
5.0	4.929908	0	0
6.0	5.895108	0	0
7.0	6.853495	0	0
8.0	7.805117	0	0
9.0	8.750021	0	0
10.0	9.688256	0	0
11.0	10.619868	0	0
12.0	11.544903	0	0
13.0	12.463409	0	0
14.0	13.375431	0	0
15.0	14.281015	0	0
16.0	15.180207	0	0
17.0	16.073052	0	0
18.0	16.959594	0	0
19.0	17.839878	0	0
20.0	18.713948	0	0
21.0	19.581848	0	0
22.0	20.443622	0	0
23.0	21.299313	0	0
24.0	22.148963	0	0
25.0	22.992616	0	0
26.0	23.830313	0	0
27.0	24.662098	0	0
28.0	25.488011	0	0
29.0	26.308093	0	0
30.0	27.122387	0	0
31.0	27.930933	0	0
32.0	28.733772	0	0
33.0	29.530943	0	0
34.0	30.322487	0	0
35.0	31.108444	0	0
36.0	31.888853	0	0
37.0	32.663753	0	0
38.0	33.433183	0	0
39.0	34.197182	0	0
40.0	34.955787	0	0
41.0	35.709038	0	0
42.0	36.456972	0	0
43.0	37.199626	0	0
44.0	37.937038	0	0
45.0	38.669244	0	0
46.0	39.396282	0	0
47.0	40.118188	0	0
48.0	40.834998	0	0
49.0	41.546748	0	0
50.0	42.253474	0	0
51.0	42.955211	0	0
52.0	43.651995	0	0
53.0	44.34386	0	0
54.0	45.030842	0	0
55.0	45.712974	0	0
56.0	46.390291	0	0
57.0	47.062827	0	0
58.0	47.730615	0	0
59.0	48.39369	0	0
60.0	49.052084	0	0
61.0	49.705831	0	0
62.0	50.354962	0	0
63.0	50.999512	0	0
64.0	51.639512	0	0
65.0	52.274994	0	0
66.0	52.90599	0	0
67.0	53.532533	0	0
68.0	54.154652	0	0
69.0	54.77238	0	0
70.0	55.385748	0	0
71.0	55.994786	0	0
72.0	56.599525	0	0
73.0	57.199995	0	0
74.0	57.796226	0	0
75.0	58.388249	0	0
76.0	58.976092	0	0
77.0	59.559786	0	0
78.0	60.13936	0	0
79.0	60.714843	0	0
80.0	61.286263	0	0
81.0	61.85365	0	0
82.0	62.417031	0	0
83.0	62.976436	0	0
84.0	63.531892	0	0
85.0	64.083427	0	0
86.0	64.631069	0	0
87.0	65.174846	0	0
88.0	65.714783	0	0
89.0	66.25091	0	0
90.0	66.783251	0	0
91.0	67.311836	0	0
92.0	67.836688	0	0
93.0	68.357837	0	0
94.0	68.875306	0	0
95.0	69.389122	0	0
96.0	69.899312	0	0
97.0	70.4059	0	0
98.0	70.908912	0	0
99.0	71.408374	0	0
100.0	71.90431	0	0

