# This file was produced by bcftools stats (1.21+htslib-1.21) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  SRR099968_raw.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	SRR099968_raw.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	1
SN	0	number of records:	11140
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	10485
SN	0	number of MNPs:	0
SN	0	number of indels:	655
SN	0	number of others:	0
SN	0	number of multiallelic sites:	5
SN	0	number of multiallelic SNP sites:	2
# TSTV, transitions/transversions
#   - transitions, see https://en.wikipedia.org/wiki/Transition_(genetics)
#   - transversions, see https://en.wikipedia.org/wiki/Transversion
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	6747	3740	1.80	6746	3738	1.80
# SiS, Singleton stats:
#   - allele count, i.e. the number of singleton genotypes (AC=1)
#   - number of transitions, see above
#   - number of transversions, see above
#   - repeat-consistent, inconsistent and n/a: experimental and useless stats [DEPRECATED]
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	990	615	375	63	0	0	63
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	990	615	375	63	0	0	63
AF	0	0.990000	9497	6132	3365	594	0	0	594
# QUAL, Stats by quality
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	30.3	2	1	1	0
QUAL	0	30.4	10	6	4	0
QUAL	0	30.6	8	5	3	0
QUAL	0	31.3	3	1	2	0
QUAL	0	31.4	7	5	2	1
QUAL	0	31.6	16	9	7	5
QUAL	0	31.8	2	2	0	0
QUAL	0	32.2	1	0	1	0
QUAL	0	32.3	6	3	3	0
QUAL	0	32.4	14	9	5	0
QUAL	0	32.6	217	112	105	1
QUAL	0	33.3	1	1	0	0
QUAL	0	33.4	10	9	1	0
QUAL	0	33.6	4	4	0	0
QUAL	0	34.2	0	0	0	2
QUAL	0	34.3	1	1	0	0
QUAL	0	34.4	36	24	12	0
QUAL	0	34.6	2	2	0	0
QUAL	0	35.1	1	1	0	0
QUAL	0	35.3	38	32	6	0
QUAL	0	35.4	146	79	67	21
QUAL	0	35.6	2	2	0	1
QUAL	0	36.3	73	49	24	0
QUAL	0	36.6	1	0	1	0
QUAL	0	37.2	0	0	0	3
QUAL	0	37.3	5154	3114	2040	0
QUAL	0	37.6	2	1	1	1
QUAL	0	38.2	0	0	0	1
QUAL	0	38.3	4	4	0	0
QUAL	0	38.6	2	1	1	0
QUAL	0	39.3	7	5	2	0
QUAL	0	39.6	3	1	2	1
QUAL	0	40.2	0	0	0	5
QUAL	0	40.3	3	3	0	0
QUAL	0	40.6	2	0	2	0
QUAL	0	41.2	0	0	0	6
QUAL	0	41.3	20	14	6	0
QUAL	0	41.6	2	1	1	2
QUAL	0	42.2	0	0	0	4
QUAL	0	42.3	2	2	0	0
QUAL	0	43.2	0	0	0	4
QUAL	0	43.3	9	5	4	0
QUAL	0	43.6	4	4	0	2
QUAL	0	44.2	0	0	0	38
QUAL	0	44.3	1	1	0	0
QUAL	0	44.6	4	3	1	0
QUAL	0	45.2	0	0	0	30
QUAL	0	45.3	4	3	1	0
QUAL	0	45.6	3	1	2	0
QUAL	0	45.8	1	1	0	0
QUAL	0	46.2	0	0	0	11
QUAL	0	46.3	6	6	0	0
QUAL	0	46.6	3	2	1	2
QUAL	0	47.2	0	0	0	3
QUAL	0	47.3	11	10	1	0
QUAL	0	47.6	4	3	1	1
QUAL	0	48.2	0	0	0	10
QUAL	0	48.3	7	5	2	0
QUAL	0	48.6	7	5	2	2
QUAL	0	49.2	0	0	0	13
QUAL	0	49.3	4	3	1	0
QUAL	0	49.6	3	1	2	0
QUAL	0	50.2	0	0	0	14
QUAL	0	50.3	1	1	0	0
